事業所番号,住所,緯度、経度,
1410051019180,神奈川県横浜市泉区和泉町５７３１－６,35.4280684,139.4947187
1410051025377,神奈川県横浜市鶴見区豊岡町３５－２６,35.5126588,139.6740817
1410051019826,神奈川県横浜市金沢区釜利谷東２－１４－３,35.3430664,139.6185779
1410051014751,神奈川県横浜市南区井土ケ谷中町１６１,35.433964,139.6012083
1410051017481,神奈川県横浜市青葉区みたけ台３２－１９,35.5552709,139.5208554
1410051016392,神奈川県横浜市西区南浅間町２６－２１,35.4552203,139.6070725
1410051025302,神奈川県横浜市保土ケ谷区西谷町７９９－１,35.4752812,139.5711567
1410051018380,神奈川県横浜市都筑区池辺町４５７８－１,35.5133082,139.5690998
1410051023711,神奈川県横浜市中区山下町１８－３,35.4435921,139.6522536
1410051015147,神奈川県横浜市神奈川区白楽６－８,35.4840013,139.6295414
1410051019222,神奈川県横浜市神奈川区神大寺４－１６－６,35.4871713,139.6138734
1410051026532,神奈川県横浜市緑区長津田１－１８－１１,35.5316607,139.5025899
1410051024073,神奈川県横浜市磯子区森２－４－８,35.398649,139.6146837
1410051016863,神奈川県横浜市旭区金が谷５２１,35.4788278,139.5156927
1410051017978,神奈川県横浜市神奈川区六角橋５－３５－１５,35.4919496,139.6143736
1410051019412,神奈川県横浜市保土ケ谷区川辺町２－５,35.4594495,139.5963994
1410051020220,神奈川県横浜市金沢区六浦５－２０－１,35.3255992,139.6113641
1410051019495,神奈川県横浜市鶴見区元宮２－５－２８,35.5212186,139.6782963
1410051023984,神奈川県横浜市港北区新吉田東７－２８－１,35.5328523,139.6176276
1410051018695,神奈川県横浜市緑区青砥町１１３０－１,35.5186007,139.5444063
1410051015824,神奈川県横浜市青葉区荏田町２３６１－３,35.5585844,139.5520335
1410051015030,神奈川県横浜市青葉区美しが丘４－２４－２,35.581236,139.5481694
1410051019446,神奈川県横浜市瀬谷区中央１－４,35.4706421,139.4839039
1410051016152,神奈川県横浜市鶴見区鶴見中央１－１－１,35.5086799,139.675971
1410051017515,神奈川県横浜市都筑区池辺町２８８５,35.5249484,139.5734271
1410051017440,神奈川県横浜市青葉区荏田西３－１－１９,35.5501318,139.5472998
1410051019099,神奈川県横浜市青葉区美しが丘２－２－１,35.5781032,139.5609107
1410051025922,神奈川県横浜市中区桜木町１－１－９３,35.4512036,139.6318202
1410051019362,神奈川県横浜市金沢区町屋町１６－２３,35.3367745,139.6285246
1410051016384,神奈川県横浜市西区高島２－７－１,35.4603187,139.6229278
1410051015246,神奈川県横浜市青葉区新石川３－１７－１,35.575378,139.5604646
1410051025625,神奈川県横浜市磯子区中原３－３－１１,35.3895988,139.6119017
1410051016236,神奈川県横浜市鶴見区本町通４－１７５－３,35.4994575,139.6857733
1410051014892,神奈川県横浜市港北区新羽町１６８５－２,35.5284631,139.6119657
1410051015964,神奈川県横浜市戸塚区原宿４－３５－４,35.3749523,139.5020333
1410051019511,神奈川県横浜市神奈川区三枚町３１－１,35.4971867,139.6062309
1410051014298,神奈川県横浜市港北区綱島東３－４－３２,35.5382272,139.6426188
1410051016210,神奈川県横浜市鶴見区矢向１－１０－３１,35.5297475,139.673929
1410051026482,神奈川県横浜市鶴見区駒岡５－２－２２,35.5328478,139.6508517
1410051024305,神奈川県横浜市都筑区仲町台１－１４－３０,35.534244,139.5916743
1410051016426,神奈川県横浜市中区山下町２７,35.4452744,139.6475973
1410051017952,神奈川県横浜市神奈川区松本町３－２７－８,35.4765343,139.6207248
1410051020006,神奈川県横浜市鶴見区鶴見中央２－１０－７,35.5123439,139.6791993
1410051016053,神奈川県横浜市戸塚区吉田町１０４－２,35.4005465,139.5376161
1410051018026,神奈川県横浜市神奈川区高島台２７－１,35.4705047,139.6206018
1410051016962,神奈川県横浜市磯子区森６－３－３３,35.3921274,139.6106792
1410051016640,神奈川県横浜市港南区上永谷１－３５－４１,35.4055092,139.5761568
1410051025443,神奈川県横浜市鶴見区寺谷一丁目３番２号,35.5106615,139.6724915
1410051015311,神奈川県横浜市泉区和泉町１３６８,35.4028529,139.4914593
1410051015329,神奈川県横浜市瀬谷区宮沢２－２６－２,35.4555897,139.4904251
1410051017044,神奈川県横浜市金沢区能見台５－２０－１６,35.3522985,139.6203463
