【令和４年４月１日時点】　受入可能数,,,,,,,,,,,,
施設所在区,標準地域コード,施設・事業名,施設番号,０歳児,１歳児,２歳児,３歳児,４歳児,５歳児,合計,更新日,
神奈川区,14102,おれんじハウス横浜駅前保育園,1410052003001,0,0,0,-,-,-,0,2022-04-01,
神奈川区,14102,たいせつ横浜ポートサイド保育園,1410052004645,4,0,1,-,-,-,5,2022-04-01,
神奈川区,14102,スターチャイルド≪横浜ステーションナーサリー≫,1410052005212,0,0,1,-,-,-,1,2022-04-01,
神奈川区,14102,かわち保育ルーム,1410052003712,-,1,0,-,-,-,1,2022-04-01,
神奈川区,14102,こまつな保育園,1410052004082,0,0,0,-,-,-,0,2022-04-01,
西区,14103,横浜市南浅間保育園,1410051020014,0,0,1,1,1,0,3,2022-04-01,
西区,14103,トキワ保育園,1410051016368,0,0,0,0,0,0,0,2022-04-01,
西区,14103,利正寺保育園,1410051014694,-,-,6,4,3,1,14,2022-04-01,
西区,14103,浅間幼育園,1410051019883,-,1,2,6,5,0,14,2022-04-01,
西区,14103,むつみ愛児園,1410051027407,-,-,4,5,2,0,11,2022-04-01,
西区,14103,つくし愛児園,1410051020394,-,-,6,10,12,12,40,2022-04-01,
西区,14103,平沼保育園,1410051019305,2,0,0,1,0,0,3,2022-04-01,
西区,14103,あそびの杜保育園（分園含む）,1410051014686,0,2,1,5,5,8,21,2022-04-01,
西区,14103,横浜みなとみらい保育園,1410051016384,1,0,0,0,0,0,1,2022-04-01,
西区,14103,にじいろ保育園みなとみらい,1410051015352,2,0,1,1,0,5,9,2022-04-01,
西区,14103,ポピンズナーサリースクールみなとみらい,1410051019230,0,0,0,0,0,0,0,2022-04-01,
西区,14103,ムーミン保育園,1410051016392,0,0,0,0,0,0,0,2022-04-01,
西区,14103,ほっぺるランド横浜岡野,1410051013902,-,1,0,1,2,2,6,2022-04-01,
西区,14103,グリーンポート桜木町保育園,1410051014702,1,0,0,0,1,1,3,2022-04-01,
西区,14103,ポピンズナーサリースクール横浜,1410051019248,1,0,0,1,1,1,4,2022-04-01,
西区,14103,ろぜっと保育園,1410051016400,1,0,0,0,0,0,1,2022-04-01,
西区,14103,桃の木保育園,1410051018034,0,0,0,1,0,1,2,2022-04-01,
西区,14103,キッズポケット木の葉保育園,1410051024172,0,0,0,0,2,0,2,2022-04-01,
西区,14103,マイ・ハート紅葉ヶ丘保育園,1410051024347,0,0,0,0,0,0,0,2022-04-01,
西区,14103,キッズパートナーみなとみらい,1410051024081,0,0,0,2,2,1,5,2022-04-01,
西区,14103,キッズポケット保育園,1410051019313,0,1,3,-,-,-,4,2022-04-01,
西区,14103,横浜岡野すきっぷ保育園,1410051024776,0,0,2,0,1,2,5,2022-04-01,
西区,14103,おはよう保育園　花咲町,1410051025039,0,0,0,0,3,1,4,2022-04-01,
西区,14103,みなとみらいくばがさ保育園,1410051024677,1,0,0,2,2,0,5,2022-04-01,
西区,14103,ウィズブック保育園戸部,1410051025450,0,0,0,0,0,1,1,2022-04-01,
西区,14103,横浜そらいろ保育園,1410051025559,0,0,2,0,0,0,2,2022-04-01,
西区,14103,櫻南幸保育園,1410051025401,0,0,0,0,0,0,0,2022-04-01,
西区,14103,アミー保育園高島園,1410051025393,1,0,0,0,2,1,4,2022-04-01,
西区,14103,京急キッズランド新高島保育園,1410051025914,0,0,0,2,0,0,2,2022-04-01,
西区,14103,ポピンズナーサリースクール平沼橋,1410051027332,-,0,0,6,5,10,21,2022-04-01,
西区,14103,にじいろ保育園平沼,1410051027118,-,0,0,8,15,15,38,2022-04-01,
西区,14103,西区中央もえぎ保育室,1410052003399,0,0,0,-,-,-,0,2022-04-01,
西区,14103,おれんじハウス西戸部保育園,1410052002870,0,0,1,-,-,-,1,2022-04-01,
西区,14103,キッズパートナー平沼橋,1410052002961,0,0,0,-,-,-,0,2022-04-01,
西区,14103,キッズパートナー横浜楠町,1410052004157,0,2,3,-,-,-,5,2022-04-01,
西区,14103,キャリー保育園　桜木町,1410052004256,0,0,0,-,-,-,0,2022-04-01,
西区,14103,キッズパートナーみなとみらい第２,1410052004660,3,2,1,-,-,-,6,2022-04-01,
西区,14103,Maple Nursery WEST,1410052005071,0,0,0,-,-,-,0,2022-04-01,
西区,14103,すぎやま家庭保育室,1410052004926,0,0,0,-,-,-,0,2022-04-01,
中区,14104,スターチャイルド《桜木町ステーションナーサリー》,1410051025922,0,0,0,0,1,0,1,2022-04-01,
中区,14104,クラウン保育園,1410051027217,-,2,1,1,0,0,4,2022-04-01,
中区,14104,ポピンズナーサリースクール馬車道,1410051016483,0,0,1,0,0,0,1,2022-04-01,
中区,14104,アスク馬車道保育園,1410051016418,0,0,1,0,0,0,1,2022-04-01,
中区,14104,にじいろ保育園関内,1410051024925,0,0,0,0,0,0,0,2022-04-01,
中区,14104,伊勢佐木町保育園,1410051023604,2,1,1,-,-,-,4,2022-04-01,
中区,14104,ララランド横浜伊勢佐木,1410051026656,0,0,0,0,0,-,0,2022-04-01,
中区,14104,アスク山下町保育園,1410051016426,0,0,0,2,2,3,7,2022-04-01,
中区,14104,横濱中華幼保園,1410051026805,0,0,0,0,3,1,4,2022-04-01,
中区,14104,うちゅう保育園やました,1410051023711,3,0,0,0,0,0,3,2022-04-01,
中区,14104,アメリカ山徳育こども園,1410051013910,0,0,0,1,0,1,2,2022-04-01,
中区,14104,木下の保育園　山下町,1410051024552,0,0,0,0,0,0,0,2022-04-01,
中区,14104,うみの風保育園,1410051013928,3,0,0,0,0,0,3,2022-04-01,
中区,14104,新山下二丁目保育所,1410051016467,0,0,0,1,0,0,1,2022-04-01,
中区,14104,保育園小紅,1410051024180,0,0,0,-,-,-,0,2022-04-01,
中区,14104,キディ石川町・横浜,1410051013936,0,0,0,1,1,2,4,2022-04-01,
中区,14104,ラフ・クルー元町保育園,1410051015154,0,0,0,0,1,0,1,2022-04-01,
中区,14104,ことぶき保育園,1410051015360,3,6,1,0,0,0,10,2022-04-01,
中区,14104,寿福祉センター保育所,1410051016459,3,4,3,0,1,0,11,2022-04-01,
中区,14104,保育園ばんびーな,1410051018588,-,7,0,0,2,0,9,2022-04-01,
中区,14104,ヨコハマきぼう保育園,1410051019891,1,2,0,0,1,1,5,2022-04-01,
中区,14104,打越保育園,1410051016434,-,8,0,1,3,1,13,2022-04-01,
中区,14104,横浜市山手保育園,1410051018828,-,1,0,2,0,1,4,2022-04-01,
中区,14104,うちゅうこども園やまて,1410051025773,0,0,0,0,0,0,0,2022-04-01,
中区,14104,横浜市竹之丸保育園,1410051018836,0,0,0,1,7,0,8,2022-04-01,
中区,14104,山元町保育園,1410051018042,0,4,0,0,0,0,4,2022-04-01,
中区,14104,木下の保育園　本牧,1410051024545,0,0,0,0,2,0,2,2022-04-01,
中区,14104,横浜市錦保育園,1410051020022,-,5,5,4,5,7,26,2022-04-01,
中区,14104,すいとぴー保育園,1410051016475,0,1,0,2,0,0,3,2022-04-01,
中区,14104,高風保育園,1410051016442,-,5,4,1,7,2,19,2022-04-01,
中区,14104,アスク本牧保育園,1410051019321,0,0,0,0,2,0,2,2022-04-01,
中区,14104,太陽の子　不動下保育園,1410051016491,0,0,0,0,0,0,0,2022-04-01,
中区,14104,ニチイキッズ桜木町保育園,1410052005063,0,0,0,-,-,-,0,2022-04-01,
中区,14104,キッズパートナー横浜市役所,1410052005477,0,0,0,-,-,-,0,2022-04-01,
中区,14104,徳育ナーサリー山下公園,1410052003068,2,5,0,-,-,-,7,2022-04-01,
中区,14104,保育ルーム山下公園,1410052003084,0,5,1,-,-,-,6,2022-04-01,
